Date,Open,High,Low,Close,Adj Close,Volume
2000-06-29,10.030000,10.030000,10.030000,10.030000,4.635933,0
2000-06-30,10.040000,10.040000,10.040000,10.040000,4.640557,0
2000-07-03,10.060000,10.060000,10.060000,10.060000,4.649802,0
2000-07-05,10.070000,10.070000,10.070000,10.070000,4.654423,0
2000-07-06,10.070000,10.070000,10.070000,10.070000,4.654423,0
2000-07-07,10.090000,10.090000,10.090000,10.090000,4.663667,0
2000-07-10,10.080000,10.080000,10.080000,10.080000,4.659043,0
2000-07-11,10.080000,10.080000,10.080000,10.080000,4.659043,0
2000-07-12,10.080000,10.080000,10.080000,10.080000,4.659043,0
2000-07-13,10.090000,10.090000,10.090000,10.090000,4.663667,0
2000-07-14,10.080000,10.080000,10.080000,10.080000,4.659043,0
2000-07-17,10.070000,10.070000,10.070000,10.070000,4.654423,0
2000-07-18,10.090000,10.090000,10.090000,10.090000,4.663667,0
2000-07-19,10.080000,10.080000,10.080000,10.080000,4.659043,0
2000-07-20,10.100000,10.100000,10.100000,10.100000,4.668290,0
2000-07-21,10.100000,10.100000,10.100000,10.100000,4.668290,0
2000-07-24,10.100000,10.100000,10.100000,10.100000,4.668290,0
2000-07-25,10.110000,10.110000,10.110000,10.110000,4.672910,0
2000-07-26,10.110000,10.110000,10.110000,10.110000,4.672910,0
2000-07-27,10.110000,10.110000,10.110000,10.110000,4.672910,0
2000-07-28,10.110000,10.110000,10.110000,10.110000,4.672910,0
2000-07-31,10.120000,10.120000,10.120000,10.120000,4.677531,0
2000-08-01,10.130000,10.130000,10.130000,10.130000,4.682156,0
2000-08-02,10.140000,10.140000,10.140000,10.140000,4.686778,0
2000-08-03,10.140000,10.140000,10.140000,10.140000,4.686778,0
2000-08-04,10.150000,10.150000,10.150000,10.150000,4.691399,0
2000-08-07,10.150000,10.150000,10.150000,10.150000,4.691399,0
2000-08-08,10.140000,10.140000,10.140000,10.140000,4.686778,0
2000-08-09,10.140000,10.140000,10.140000,10.140000,4.686778,0
2000-08-10,10.150000,10.150000,10.150000,10.150000,4.691399,0
2000-08-11,10.160000,10.160000,10.160000,10.160000,4.696021,0
2000-08-14,10.150000,10.150000,10.150000,10.150000,4.691399,0
2000-08-15,10.140000,10.140000,10.140000,10.140000,4.686778,0
2000-08-16,10.130000,10.130000,10.130000,10.130000,4.682156,0
2000-08-17,10.140000,10.140000,10.140000,10.140000,4.686778,0
2000-08-18,10.140000,10.140000,10.140000,10.140000,4.686778,0
2000-08-21,10.150000,10.150000,10.150000,10.150000,4.691399,0
2000-08-22,10.160000,10.160000,10.160000,10.160000,4.696021,0
2000-08-23,10.170000,10.170000,10.170000,10.170000,4.700644,0
2000-08-24,10.180000,10.180000,10.180000,10.180000,4.705264,0
2000-08-25,10.190000,10.190000,10.190000,10.190000,4.709888,0
2000-08-28,10.190000,10.190000,10.190000,10.190000,4.709888,0
2000-08-29,10.190000,10.190000,10.190000,10.190000,4.709888,0
2000-08-30,10.180000,10.180000,10.180000,10.180000,4.705264,0
2000-08-31,10.190000,10.190000,10.190000,10.190000,4.709888,0
2000-09-01,10.210000,10.210000,10.210000,10.210000,4.719131,0
2000-09-05,10.210000,10.210000,10.210000,10.210000,4.719131,0
2000-09-06,10.210000,10.210000,10.210000,10.210000,4.719131,0
2000-09-07,10.200000,10.200000,10.200000,10.200000,4.714509,0
2000-09-08,10.220000,10.220000,10.220000,10.220000,4.723753,0
2000-09-11,10.220000,10.220000,10.220000,10.220000,4.723753,0
2000-09-12,10.220000,10.220000,10.220000,10.220000,4.723753,0
2000-09-13,10.230000,10.230000,10.230000,10.230000,4.728374,0
2000-09-14,10.220000,10.220000,10.220000,10.220000,4.723753,0
2000-09-15,10.200000,10.200000,10.200000,10.200000,4.714509,0
2000-09-18,10.200000,10.200000,10.200000,10.200000,4.714509,0
2000-09-19,10.200000,10.200000,10.200000,10.200000,4.714509,0
2000-09-20,10.210000,10.210000,10.210000,10.210000,4.719131,0
2000-09-21,10.210000,10.210000,10.210000,10.210000,4.719131,0
2000-09-22,10.120000,10.120000,10.120000,10.120000,4.677531,0
2000-09-25,10.130000,10.130000,10.130000,10.130000,4.682156,0
2000-09-26,10.130000,10.130000,10.130000,10.130000,4.682156,0
2000-09-27,10.140000,10.140000,10.140000,10.140000,4.686778,0
2000-09-28,10.140000,10.140000,10.140000,10.140000,4.686778,0
2000-09-29,10.140000,10.140000,10.140000,10.140000,4.686778,0
2000-10-02,10.140000,10.140000,10.140000,10.140000,4.686778,0
2000-10-03,10.140000,10.140000,10.140000,10.140000,4.686778,0
2000-10-04,10.140000,10.140000,10.140000,10.140000,4.686778,0
2000-10-05,10.140000,10.140000,10.140000,10.140000,4.686778,0
2000-10-06,10.150000,10.150000,10.150000,10.150000,4.691399,0
